City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kruisfontein,-34.0033,24.7314,60.01,86,0,7.02,ZA,1620761238
Hermanus,-34.4187,19.2345,57.99,84,0,4.0,ZA,1620761238
Chui,-33.6971,-53.4616,61.12,52,9,10.78,UY,1620761238
Sioux Lookout,50.1001,-91.917,55.4,30,20,3.44,CA,1620761239
Fort Nelson,58.8053,-122.7002,57.2,44,40,4.61,CA,1620761239
Hobart,-42.8794,147.3294,46.4,71,90,9.22,AU,1620761104
Atuona,-9.8,-139.0333,79.79,81,20,25.46,PF,1620761239
Verkhoyansk,67.5447,133.385,25.21,86,100,5.48,RU,1620761240
Coahuayana Viejo,18.7333,-103.6833,86.0,58,75,9.22,MX,1620761240
Lagoa,39.05,-27.9833,61.59,74,14,12.48,PT,1620761240
Jardim,-21.4803,-56.1381,76.48,55,100,9.75,BR,1620761240
Narsaq,60.9167,-46.05,46.4,36,75,8.05,GL,1620761241
Vaini,-21.2,-175.2,75.2,78,20,8.05,TO,1620761241
Machacamarca,-18.1667,-67.0333,66.2,32,20,3.44,BO,1620761241
Albany,42.6001,-73.9662,61.0,26,100,5.99,US,1620761242
Llangefni,53.2556,-4.3106,54.0,87,90,10.36,GB,1620761242
Ushuaia,-54.8,-68.3,57.2,38,75,13.8,AR,1620761229
Punta Arenas,-53.15,-70.9167,48.2,71,75,5.75,CL,1620761242
Iquitos,-3.7481,-73.2472,78.8,89,75,4.61,PE,1620761243
Klaksvík,62.2266,-6.589,41.0,75,75,12.66,FO,1620761243
Luanda,-8.8368,13.2343,80.6,83,20,9.22,AO,1620761243
Acapulco de Juárez,16.8634,-99.8901,89.6,62,90,8.05,MX,1620761112
Kaitangata,-46.2817,169.8464,37.99,87,21,4.0,NZ,1620761243
Dikson,73.5069,80.5464,26.31,95,49,16.49,RU,1620761244
Busselton,-33.65,115.3333,60.01,97,69,10.31,AU,1620761244
La Santisima Trinidad,-14.8333,-64.9,82.4,69,40,5.75,BO,1620761244
Dhidhdhoo,6.8833,73.1,82.87,81,100,14.38,MV,1620761157
Riyadh,24.6877,46.7219,91.4,17,0,8.05,SA,1620761245
Oga,46.4631,10.347,53.01,100,75,5.75,IT,1620761245
Port-Gentil,-0.7193,8.7815,82.4,78,40,9.22,GA,1620761245
Leh,34.1667,77.5833,42.78,84,100,2.73,IN,1620761246
Carutapera,-1.195,-46.02,81.21,86,30,4.76,BR,1620761246
Avarua,-21.2078,-159.775,73.4,88,100,3.44,CK,1620761246
Upernavik,72.7868,-56.1549,29.21,93,100,0.67,GL,1620761247
Isangel,-19.55,169.2667,77.58,82,48,15.37,VU,1620761247
Arraial do Cabo,-22.9661,-42.0278,80.6,65,0,5.75,BR,1620761247
Inta,66.0317,60.1659,46.36,72,100,10.51,RU,1620761247
Rikitea,-23.1203,-134.9692,78.1,76,93,22.82,PF,1620760991
Pevek,69.7008,170.3133,8.89,94,95,3.98,RU,1620761248
Qaanaaq,77.484,-69.3632,22.03,74,100,6.93,GL,1620761248
Mahébourg,-20.4081,57.7,69.8,88,20,5.75,MU,1620761248
Vardø,70.3705,31.1107,39.2,93,75,9.22,NO,1620761249
Mahajanga,-15.7167,46.3167,77.0,88,20,5.75,MG,1620761249
Saldanha,-33.0117,17.9442,57.2,82,0,5.75,ZA,1620761249
Torbay,47.6666,-52.7314,51.01,62,40,17.27,CA,1620761250
Cape Town,-33.9258,18.4232,57.0,88,0,6.91,ZA,1620760957
Neiafu,-18.65,-173.9833,77.0,78,40,4.61,TO,1620761250
Akhisar,38.9185,27.8401,55.87,61,6,7.54,TR,1620761250
Trelew,-43.249,-65.3051,64.54,16,7,10.18,AR,1620761251
Castro,-24.7911,-50.0119,72.48,45,100,3.65,BR,1620761105
Sambava,-14.2667,50.1667,76.06,81,4,9.8,MG,1620761251
Mocuba,-16.8392,36.9856,64.13,95,4,3.06,MZ,1620761251
Thompson,55.7435,-97.8558,68.0,21,20,13.8,CA,1620761252
Nanortalik,60.1432,-45.2371,39.99,62,99,0.47,GL,1620761252
Butaritari,3.0707,172.7902,82.8,74,100,13.89,KI,1620761252
Touros,-5.1989,-35.4608,82.4,74,40,10.36,BR,1620761253
Kapaa,22.0752,-159.319,77.0,69,90,16.11,US,1620761253
Todos Santos,23.45,-110.2167,93.99,22,40,11.5,MX,1620761253
Rønne,55.1009,14.7066,69.8,49,27,6.91,DK,1620761253
Khatanga,71.9667,102.5,29.68,92,100,6.98,RU,1620761254
Mandalgovi,45.7625,106.2708,41.54,37,100,6.69,MN,1620761254
Praia da Vitória,38.7333,-27.0667,68.0,60,20,6.96,PT,1620761254
Saurimo,-9.6608,20.3916,67.86,59,52,3.09,AO,1620761255
Bethel,41.3712,-73.414,60.01,37,100,1.01,US,1620761255
Port Alfred,-33.5906,26.891,62.58,85,5,10.47,ZA,1620761256
Yellowknife,62.456,-114.3525,35.01,64,75,4.61,CA,1620761256
Tsabong,-26.0217,22.401,67.57,28,0,1.57,BW,1620761256
San Patricio,28.017,-97.5169,93.2,55,75,13.8,US,1620761256
Araouane,18.9048,-3.5265,100.11,10,11,8.72,ML,1620761257
Nikolskoye,59.7035,30.7861,64.4,34,0,8.95,RU,1620761257
Tilichiki,60.4667,166.1,21.47,89,100,7.54,RU,1620761257
Pisco,-13.7,-76.2167,68.0,77,7,11.5,PE,1620761257
Jamestown,42.097,-79.2353,48.0,49,75,14.97,US,1620761116
Yatou,37.15,122.3833,56.19,92,100,7.14,CN,1620761258
Alofi,-19.0595,-169.9187,75.2,94,75,16.11,NU,1620761258
Barrow,71.2906,-156.7887,17.6,93,90,8.05,US,1620761258
Hithadhoo,-0.6,73.0833,82.29,76,100,11.63,MV,1620761259
Lompoc,34.6391,-120.4579,66.0,68,12,3.44,US,1620761259
Rocha,-34.4833,-54.3333,59.02,58,24,11.88,UY,1620761259
Cairo,30.0626,31.2497,77.0,57,0,13.8,EG,1620761190
Mataura,-46.1927,168.8643,36.0,93,93,4.0,NZ,1620761260
Kendari,-3.945,122.4989,75.07,89,57,2.48,ID,1620761260
Derzhavīnsk,51.1,66.3167,54.9,54,0,3.8,KZ,1620761260
Filingué,14.3521,3.3168,101.01,13,88,8.21,NE,1620761261
Severo-Kuril'sk,50.6789,156.125,35.17,89,96,7.18,RU,1620761261
